NAME	DESCRIPTION	SK_MEL_301T	SK_MEL_311AT	SK_MEL_321AT	SK_MEL_337T	SK_MEL_351T	SK_MEL_363T	SK_MEL_381T	SK_MEL_389	SK_MEL_394T	SK_MEL_398T	SK_MEL_430T	SK_MEL_445T	SK_MEL_455T	SK_MEL_539T	SK_MEL_499	SK_MEL_526T	SK_MEL_540	SK_MEL_551AT	SK_MEL_560_2T	SK_MEL_566_1	SK_MEL_574	SK_MEL_581_1T	SK_MEL_598_1T	SK_MEL_641_1
ZNF674	ZNF674	1.10699	0.600622	1.18159	1.71376	0.564074	0.728475	1.31295	1.03746	0.747985	1.4614	1.20445	1.28596	1.35371	2.57509	1.11322	0.922661	1.11967	0.940875	1.9533	2.52948	0.893929	0.868	0.589263	1.48481
ZNF674-AS1	ZNF674-AS1	4.11027	1.23381	2.0506	1.92484	0.95434	0.713796	2.4004	0.788385	1.27504	0.956687	1.82672	2.88184	1.50884	2.31235	1.99797	0.605483	1.82305	1.09895	2.16905	1.3963	0.672784	0.821201	1.19205	1.00288
ZNF675	ZNF675	3.17324	1.56475	5.91943	1.26542	1.8071	1.72291	1.50958	3.53497	2.79646	2.24411	5.64025	2.10535	4.24628	2.49102	3.36394	0.977594	2.48368	1.97855	2.65328	1.95714	1.45657	1.54403	1.92974	4.9198
ZNF677	ZNF677	9.50918	0.77573	9.44129	3.48119	4.59174	6.81364	2.21306	2.08933	7.39494	1.34808	6.10195	2.57987	43.2818	4.81928	5.11744	1.45279	21.3679	4.25963	5.23231	0.59264	0.266656	7.21584	0.744929	1.20777
ZNF680	ZNF680	4.47471	2.49351	3.12471	2.9874	1.57658	3.56741	3.0587	3.91363	2.66939	3.02272	4.20813	3.2685	2.66619	7.85828	4.43369	1.16762	3.46506	2.18999	4.35859	1.9916	1.82572	1.94843	2.88699	4.15387
ZNF684	ZNF684	1.88114	1.73266	1.41869	2.20904	1.08347	2.24879	1.88023	2.21625	1.4053	2.84515	2.00657	1.44281	2.15884	1.83549	1.80988	0.976731	3.85973	1.63587	3.79584	2.88746	1.05637	0.977205	1.39132	2.62363
ZNF687	ZNF687	15.67	7.51906	5.27822	7.39459	5.24663	11.6758	14.8229	4.48272	7.10419	7.96139	10.888	7.38177	12.7361	8.84563	5.55144	12.8498	13.6742	9.2051	6.16823	5.68689	7.76214	7.61734	11.499	15.5657
ZNF688	ZNF688	11.8435	16.2768	7.00365	7.11865	14.1994	10.5539	14.7325	9.52345	16.2592	15.4107	18.7442	6.47457	7.03669	7.20474	8.54138	9.01595	10.0125	11.6431	18.5981	15.7136	6.59202	16.8846	13.7818	5.00493
ZNF689	ZNF689	6.9562	3.32143	1.92256	4.19414	2.94382	2.21542	4.20074	2.89367	2.98265	4.66246	3.29697	3.69588	8.47614	3.74167	3.04669	8.65746	3.44281	3.37146	7.35041	4.36515	3.4454	2.52455	3.24929	4.11762
ZNF69	ZNF69	1.77919	1.10441	1.28094	0.582507	2.12682	2.38169	1.7046	2.07826	1.45268	9.07544	1.44238	1.64662	7.38149	1.7169	3.40352	2.01251	2.86007	2.06988	5.10169	1.48562	6.86989	3.5018	3.10018	1.89894
